"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"39",5,"Doug Martin",FA,"RB15","21","63","39.8","11.8","-12"
"40",5,"Adrian Peterson",FA,"RB16","11","66","40.0","10.7","-25"
"41",5,"Fred Jackson",FA,"RB17","17","61","40.1","11.6","-17"
"42",6,"Ahmad Bradshaw",FA,"RB18","24","68","42.5","9.8","-6"
"43",6,"Jeremy Maclin",FA,"WR18","32","64","44.1","8.1","+14"
"44",6,"Antonio Brown",FA,"WR19","32","67","46.4","7.8","+10"
"45",6,"Reggie Bush",FA,"RB19","29","76","47.7","10.2","-5"
"46",6,"Steve Johnson",FA,"WR20","32","67","47.9","8.1","+30"
"47",6,"Demaryius Thomas",FA,"WR21","26","78","48.9","12.0","+11"
"48",6,"Dwayne Bowe",FA,"WR22","34","66","49.4","10.0","+18"
"49",6,"Aaron Hernandez",FA,"TE3","38","60","50.3","5.7","-7"
"50",6,"Brandon Lloyd",FA,"WR23","28","71","51.1","12.3","+11"
"51",6,"Miles Austin",FA,"WR24","35","80","51.1","11.9","+9"
"52",6,"Antonio Gates",FA,"TE4","42","72","51.2","6.4","-11"
"53",6,"Michael Vick",FA,"QB6","31","71","53.6","7.7","-6"
"54",6,"Vincent Jackson",FA,"WR25","36","79","54.7","10.7","+11"
"55",6,"Eric Decker",FA,"WR26","38","77","55.7","11.8","+13"
"56",6,"Eli Manning",FA,"QB7","46","72","56.7","5.6","-4"
"57",6,"Vernon Davis",FA,"TE5","48","81","57.7","7.7","-6"
"58",6,"Matt Ryan",FA,"QB8","44","77","58.6","7.8","-10"
"59",6,"Frank Gore",FA,"RB20","37","87","59.2","13.2","-22"
"60",7,"Tony Romo",FA,"QB9","46","76","61.0","7.4","+13"
"61",7,"DeSean Jackson",FA,"WR27","40","85","63.4","10.0","+9"
"62",7,"Michael Turner",FA,"RB21","33","97","64.2","16.1","-28"
"63",7,"Reggie Wayne",FA,"WR28","37","91","64.7","11.9","+21"
"64",7,"Jermichael Finley",FA,"TE6","47","81","64.8","8.7","-8"
"65",7,"Philip Rivers",FA,"QB10","56","86","66.7","8.2","-2"
"66",7,"Jonathan Stewart",FA,"RB22","41","107","68.3","13.9","+13"
"67",7,"Peyton Manning",FA,"QB11","55","91","69.6","8.1","-3"
"68",7,"Jason Witten",FA,"TE7","49","108","69.7","16.4","+7"
"69",7,"Torrey Smith",FA,"WR29","43","95","72.1","13.3","+5"
"70",7,"Shonn Greene",FA,"RB23","54","118","74.3","14.9","-17"
"71",7,"Pierre Garcon",FA,"WR30","54","90","74.8","8.5","+16"
"72",7,"C.J. Spiller",FA,"RB24","38","113","75.1","15.6","+6"
"73",7,"Brandon Pettigrew",FA,"TE8","55","112","77.5","16.4","-2"
"74",7,"Kenny Britt",FA,"WR31","48","126","78.3","18.8","+12"
"75",7,"Fred Davis",FA,"TE9","50","117","79.8","13.8","+2"
"76",7,"Donald Brown",FA,"RB25","53","125","79.9","18.3","-14"
"77",7,"Willis McGahee",FA,"RB26","47","116","80.1","17.7","-31"
"78",8,"BenJarvus Green-Ellis",FA,"RB27","54","122","84.5","14.8","-23"
"79",8,"Robert Meachem",FA,"WR32","67","117","86.5","10.6","+17"
"80",8,"Ben Roethlisberger",FA,"QB12","69","116","86.5","11.4","+11"
"81",8,"Darrius Heyward-Bey",FA,"WR33","64","120","88.1","14.3","+22"
"82",8,"Greg Little",FA,"WR34","65","123","89.7","14.8","+38"
"83",8,"Tony Gonzalez",FA,"TE10","60","114","90.6","15.6","+9"
"84",8,"Peyton Hillis",FA,"RB28","56","147","91.8","22.4","-15"
"85",8,"Denarius Moore",FA,"WR35","77","131","91.8","13.0","+23"
"86",8,"Jay Cutler",FA,"QB13","60","132","92.5","17.6","+8"
"87",8,"Stevan Ridley",FA,"RB29","59","139","94.1","22.0","-15"
"88",8,"Chris Beanie Wells",FA,"RB30","58","154","94.8","19.9","-29"
"89",8,"DeAngelo Williams",FA,"RB31","69","151","94.8","17.2","-6"
"90",8,"Robert Griffin III",FA,"QB14","68","145","95.3","20.8","-8"
"91",8,"Justin Blackmon",FA,"WR36","66","144","98.2","19.4","+6"
