WAS	RB	1	0	0	0	0	2	2	6	0	0	0	2.6	2.6
DAL	RB	15	7	24	3.4	0	0	0	0	0	0	0	0.2	2.4
ARI	RB	10	2	2	1	0	1	1	7	0	0	0	0.2	1.9
JAX	RB	2	1	4	4	0	1	1	3	0	0	0	0.8	1.7
HOU	FB	7	0	0	0	0	1	1	6	0	0	0	0.2	1.6
NO	RB	11	8	15	1.9	0	0	0	0	0	0	0	0.1	1.5
NO	RB	1	3	13	4.3	0	0	0	0	0	0	0	1.3	1.3
JAX	FB	8	0	0	0	0	2	1	2	0	0	0	0.2	1.2
TEN	RB	7	2	9	4.5	0	0	0	0	0	0	0	0.1	0.9
GB	RB	3	2	8	4	0	0	0	0	0	0	0	0.3	0.8
GB	FB	8	3	6	2	0	0	0	0	0	0	0	0.1	0.6
ATL	RB	1	3	4	1.3	0	0	0	0	0	0	0	0.4	0.4
ATL	RB	3	1	3	3	0	0	0	0	0	0	0	0.1	0.3
JAX	RB	8	0	0	0	0	0	0	0	0	0	0	0	0
BUF	RB	13	0	0	0	0	2	0	0	0	0	0	0	0
LAR	RB	13	0	0	0	0	0	0	0	0	0	0	0	0
LAR	RB	4	0	0	0	0	0	0	0	0	0	0	0	0
PIT	FB	12	0	0	0	0	0	0	0	0	0	0	0	0
LAC	RB	2	0	0	0	0	0	0	0	0	0	0	0	0
TB	RB	6	0	0	0	0	1	0	0	0	0	0	0	0
PIT	RB	4	0	0	0	0	0	0	0	0	0	0	0	0
DEN	RB	7	0	0	0	0	0	0	0	0	0	0	0	0
DAL	FB	2	0	0	0	0	0	0	0	0	0	0	0	0
MIA	FB	3	0	0	0	0	0	0	0	0	0	0	0	0
PHI	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
CLE	FB	1	0	0	0	0	0	0	0	0	0	0	0	0
PIT	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
WAS	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
WAS	RB	1	0	0	0	0	0	0	0	0	0	0	0	0
MIN	FB	1	0	0	0	0	0	0	0	0	0	0	0	0
PHI	RB	1	1	-12	-12	0	1	1	2	0	0	0	0	0
