"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"122",9,"Dwayne Allen",FA,"TE13","75","182","123.0","22.5","0"
"123",9,"Antonio Gates",FA,"TE14","93","191","135.1","19.7","+1"
"124",9,"DeVante Parker",NE,"WR50","88","180","127.1","20.8","+17"
"125",9,"Julius Thomas",FA,"TE15","78","207","130.2","25.3","-18"
"126",9,"Joe Flacco",FA,"QB19","92","245","129.8","22.1","+12"
"127",9,"Alfred Blue",FA,"RB43","67","199","129.3","29.4","-30"
"128",9,"Austin Seferian-Jenkins",FA,"TE16","84","191","136.5","21.4","+88"
"129",9,"David Johnson",FA,"RB44","84","267","134.6","24.6","+26"
"130",9,"Reggie Bush",FA,"RB45","93","219","137.0","19.0","+4"
"131",9,"Markus Wheaton",FA,"WR51","71","200","123.1","28.5","+50"
"132",9,"Jay Cutler",FA,"QB20","104","285","135.5","22.9","+19"
"133",9,"Andy Dalton",CAR,"QB21","85","216","137.9","21.8","+57"
"134",9,"Victor Cruz",FA,"WR52","64","180","125.7","22.7","-36"
"135",9,"Marvin Jones Jr.",DET,"WR53","98","222","138.0","22.5","+60"
"136",9,"Larry Donnell",FA,"TE17","98","185","136.8","19.9","+68"
"137",10,"Kenny Stills",FA,"WR54","89","229","139.7","25.8","+50"
"138",10,"Breshad Perriman",FA,"WR55","94","235","135.3","25.0","+19"
"139",10,"Andre Williams",FA,"RB46","107","195","147.0","20.2","+15"
"140",10,"Michael Crabtree",FA,"WR56","88","194","143.3","22.9","+16"
"141",10,"Knile Davis",FA,"RB47","101","199","149.1","19.3","+19"
"142",10,"Doug Baldwin",FA,"WR57","108","204","148.4","17.9","+26"
"143",10,"Heath Miller",FA,"TE18","103","199","144.8","18.0","+23"
"144",10,"Jordan Reed",FA,"TE19","90","189","145.2","20.1","+80"
"145",10,"Vernon Davis",FA,"TE20","82","196","145.3","26.2","+5"
"146",10,"Seattle Seahawks",SEA,"DST1","103","215","142.5","20.4","-82"
"147",10,"Roy Helu",FA,"RB48","107","246","148.1","25.1","+75"
"148",10,"Matt Jones",FA,"RB49","73","351","143.4","36.5","+37"
"149",10,"Coby Fleener",FA,"TE21","95","198","146.6","20.4","0"
"150",10,"Marcus Mariota",PHI,"QB22","104","293","158.8","24.4","+8"
"151",10,"Charles Sims",FA,"RB50","94","208","144.3","24.6","-8"
"152",10,"Darren Sproles",FA,"RB51","102","206","153.2","23.1","-26"
"153",10,"Charles Clay",FA,"TE22","97","198","155.0","21.9","+33"
"154",10,"Jameis Winston",NO,"QB23","116","298","157.7","24.7","+13"
"155",10,"Alex Smith",FA,"QB24","119","263","157.9","20.6","+9"
"156",10,"Brandon LaFell",FA,"WR58","65","213","129.5","35.3","-17"
"157",10,"Brandon Coleman",FA,"WR59","94","190","144.4","21.6","+35"
"158",10,"Josh Hill",FA,"TE23","94","232","150.0","28.8","+35"
"159",10,"Percy Harvin",FA,"WR60","95","262","151.8","26.0","-6"
"160",10,"Buffalo Bills",BUF,"DST2","116","218","161.4","17.2","-83"
"161",10,"Derek Carr",NO,"QB25","108","338","161.2","30.6","+12"
"162",10,"Dorial Green-Beckham",FA,"WR61","116","256","160.1","25.3","+13"
"163",10,"Los Angeles Rams",LAR,"DST3","119","222","168.6","15.7","-69"
"164",10,"Dwayne Bowe",FA,"WR62","125","197","159.1","17.6","+70"
"165",10,"Malcom Floyd",FA,"WR63","109","242","161.2","20.1","+37"
"166",10,"Houston Texans",HOU,"DST4","110","223","169.0","17.6","-86"
"167",10,"Kenny Britt",FA,"WR64","118","238","164.2","21.8","+90"
"168",10,"Ronnie Hillman",FA,"RB52","102","278","158.0","30.7","-7"
"169",10,"Eric Ebron",FA,"TE24","112","240","167.0","23.7","+46"
"170",10,"Allen Hurns",FA,"WR65","102","271","154.8","30.5","+75"
"171",10,"Denard Robinson",FA,"RB53","116","297","169.8","27.3","+30"
"172",10,"Fred Jackson",FA,"RB54","121","264","171.2","24.4","+22"
"173",10,"Cody Latimer",FA,"WR66","120","217","159.0","19.5","-10"
"174",10,"Ladarius Green",FA,"TE25","120","203","167.0","18.6","+69"
"175",10,"Terrance West",FA,"RB55","116","229","167.2","22.6","+22"
"176",11,"Blake Bortles",FA,"QB26","124","364","167.6","30.7","+47"
"177",11,"DeAngelo Williams",FA,"RB56","116","250","175.0","22.3","-48"
"178",11,"Jerick McKinnon",KC,"RB57","115","279","174.5","22.7","+51"
"179",11,"Phillip Dorsett II",LV,"WR67","101","304","168.2","28.9","+30"
"180",11,"Cecil Shorts",FA,"WR68","131","225","171.0","19.6","+58"
