DET	WR	6	14	8	57.1	85	0	22	6.1	10.6	0	0	0	0	0	0	2.8	16.5
GB	WR	7	12	9	75	66	0	15	5.5	7.3	0	0	0	0	0	0	2.2	15.6
LAC	WR	14	4	3	75	64	1	26	16	21.3	0	0	0	0	0	0	1.1	15.4
CLE	WR	5	14	9	64.3	60	0	16	4.3	6.7	0	0	0	0	0	0	3	15
JAX	WR	4	13	8	61.5	76	0	22	5.8	9.5	1	-9	-9	0	0	0	3.7	14.7
MIA	WR	14	15	7	46.7	62	0	13	4.1	8.9	1	9	9	0	0	0	1	14.1
NYG	WR	14	13	6	46.2	37	1	8	2.8	6.2	0	0	0	0	1	1	1	13.7
SEA	WR	8	7	5	71.4	82	0	33	11.7	16.4	1	-2	-2	0	0	0	1.6	13
PIT	WR	12	13	6	46.2	64	0	21	4.9	10.7	0	0	0	0	0	0	1	12.4
NE	WR	7	11	6	54.5	63	0	19	5.7	10.5	0	0	0	0	0	0	1.8	12.3
CIN	WR	10	8	6	75	61	0	23	7.6	10.2	0	0	0	0	0	0	1.2	12.1
NO	WR	8	12	4	33.3	68	0	35	5.7	17	0	0	0	0	0	0	1.4	10.8
PIT	WR	7	6	2	33.3	20	1	19	3.3	10	0	0	0	0	0	0	1.4	10
NYJ	WR	6	2	2	100	6	0	5	3	3	13	55	4.2	0	0	0	1.6	9.62
DET	WR	4	11	5	45.5	46	0	11	4.2	9.2	0	0	0	0	0	0	2.4	9.6
SF	WR	6	5	3	60	34	0	29	6.8	11.3	1	26	26	0	0	0	1.5	9
MIN	WR	16	11	5	45.5	33	0	15	3	6.6	0	0	0	0	0	0	0.5	8.3
TB	WR	16	9	4	44.4	68	0	30	7.6	17	2	14	7	0	3	2	0.5	8.2
HOU	WR	13	8	4	50	35	0	11	4.4	8.8	0	0	0	0	0	0	0.6	7.5
WAS	WR	5	11	3	27.3	15	0	6	1.4	5	0	0	0	0	1	0	1.3	6.5
LV	WR	1	8	3	37.5	32	0	20	4	10.7	0	0	0	0	0	0	6.2	6.2
SF	WR	7	9	3	33.3	28	0	15	3.1	9.3	0	0	0	0	0	0	0.8	5.8
JAX	WR	2	3	2	66.7	31	0	18	10.3	15.5	0	0	0	0	0	0	2.6	5.1
PHI	WR	6	2	2	100	27	0	14	13.5	13.5	2	2	1	0	1	0	0.8	4.9
JAX	WR	6	8	3	37.5	18	0	8	2.2	6	0	0	0	0	0	0	0.8	4.8
TB	WR	7	7	2	28.6	12	0	9	1.7	6	2	15	7.5	0	1	0	0.7	4.7
KC	WR	9	7	2	28.6	20	0	11	2.9	10	0	0	0	0	0	0	0.4	4
BUF	WR	16	5	2	40	13	0	9	2.6	6.5	0	0	0	0	0	0	0.2	3.3
CHI	WR	10	3	2	66.7	13	0	10	4.3	6.5	0	0	0	0	0	0	0.3	3.3
CLE	WR	8	5	2	40	12	0	6	2.4	6	0	0	0	0	0	0	0.4	3.2
SF	WR	14	1	1	100	17	0	17	17	17	0	0	0	0	0	0	0.2	2.7
SEA	WR	1	1	1	100	17	0	17	17	17	0	0	0	0	0	0	2.7	2.7
CLE	WR	3	3	1	33.3	15	0	15	5	15	0	0	0	0	0	0	0.8	2.5
ATL	WR	16	1	1	100	12	0	12	12	12	0	0	0	0	0	0	0.1	2.2
CLE	WR	6	5	1	20	10	0	10	2	10	1	0	0	0	0	0	0.3	2
