WAS	WR	17	62	41	66.1	383	0	27	6.2	9.3	0	0	0	0	0	0	4.7	79.3
NYJ	WR	15	51	28	54.9	449	1	54	8.8	16	0	0	0	0	0	0	5.3	78.9
PHI	WR	17	57	33	57.9	299	2	34	5.2	9.1	10	32	3.2	0	2	0	4.6	78.1
NYG	WR	7	53	36	67.9	366	1	37	6.9	10.2	1	-9	-9	0	0	0	11.1	77.7
LV	WR	16	34	20	58.8	454	2	75	13.4	22.7	1	4	4	0	1	1	4.7	75.8
IND	WR	10	37	23	62.2	331	3	52	8.9	14.4	0	0	0	0	0	0	7.4	74.1
TB	WR	17	55	36	65.5	360	0	31	6.5	10	0	0	0	0	0	0	4.2	72
ATL	WR	5	52	31	59.6	281	2	22	5.4	9.1	0	0	0	0	0	0	14.2	71.1
BAL	WR	13	49	27	55.1	394	1	49	8	14.6	0	0	0	0	1	1	5.4	70.4
JAX	WR	10	39	24	61.5	229	1	29	5.9	9.5	7	111	15.9	1	1	0	7	70
KC	WR	17	41	25	61	264	3	33	6.4	10.6	0	0	0	0	0	0	4.1	69.4
HOU	WR	8	37	24	64.9	248	3	39	6.7	10.3	0	0	0	0	1	0	8.6	68.8
NYG	WR	13	58	26	44.8	339	2	42	5.8	13	1	-13	-13	0	1	1	5.3	68.6
PIT	WR	16	66	39	59.1	277	0	24	4.2	7.1	2	15	7.5	0	4	1	4.1	66.2
PIT	WR	15	44	24	54.5	285	2	42	6.5	11.9	2	13	6.5	0	0	0	4.4	65.8
TEN	WR	16	43	30	69.8	301	1	39	7	10	1	9	9	0	4	1	4.1	65
CHI	WR	17	38	26	68.4	329	1	54	8.7	12.7	0	0	0	0	1	1	3.8	64.9
HOU	WR	16	37	22	59.5	323	2	41	8.7	14.7	1	3	3	0	1	1	4	64.6
MIA	WR	17	28	14	50	223	4	65	8	15.9	0	0	0	0	0	0	3.5	60.3
ARI	WR	15	32	19	59.4	208	3	33	6.5	10.9	0	0	0	0	0	0	3.9	57.8
CLE	WR	15	47	24	51.1	275	1	21	5.9	11.5	0	0	0	0	0	0	3.8	57.5
CHI	WR	14	40	20	50	313	1	50	7.8	15.6	2	-1	-0.5	0	0	0	4.1	57.2
HOU	WR	12	22	21	95.5	227	2	67	10.3	10.8	0	0	0	0	0	0	4.6	55.7
BUF	WR	15	26	20	76.9	178	1	28	6.8	8.9	9	47	5.2	1	2	1	3.5	52.5
JAX	WR	13	37	24	64.9	213	1	25	5.8	8.9	3	21	7	0	1	1	4	51.4
NO	WR	10	18	13	72.2	249	2	56	13.8	19.2	0	0	0	0	0	0	5	49.9
DET	WR	5	23	15	65.2	204	2	46	8.9	13.6	0	0	0	0	0	0	9.9	49.4
CAR	WR	13	25	18	72	250	1	55	10	13.9	0	0	0	0	0	0	3.8	49
WAS	WR	14	23	15	65.2	211	2	43	9.2	14.1	1	7	7	0	0	0	3.5	48.8
ATL	WR	15	37	25	67.6	230	0	17	6.2	9.2	0	0	0	0	0	0	3.2	48
MIA	WR	14	39	25	64.1	213	0	64	5.5	8.5	4	17	4.2	0	0	0	3.4	48
IND	WR	17	22	13	59.1	173	2	62	7.9	13.3	3	32	10.7	0	0	0	2.7	45.5
DAL	WR	14	16	12	75	149	3	61	9.3	12.4	0	0	0	0	0	0	3.2	44.9
TB	WR	5	12	10	83.3	212	2	62	17.7	21.2	1	14	14	0	0	0	8.9	44.6
NYG	WR	10	20	11	55	224	1	52	11.2	20.4	1	16	16	0	1	0	4.1	41
MIA	WR	13	17	12	70.6	161	2	52	9.5	13.4	0	0	0	0	0	0	3.1	40.1
DEN	WR	16	23	15	65.2	175	1	40	7.6	11.7	0	0	0	0	0	0	2.4	38.54
BAL	WR	14	20	16	80	202	0	32	10.1	12.6	0	0	0	0	0	0	2.6	36.2
PIT	WR	5	28	15	53.6	129	0	24	4.6	8.6	3	9	3	1	0	0	7	34.8
PHI	WR	17	11	7	63.6	95	3	27	8.6	13.6	0	0	0	0	0	0	2	34.58
JAX	WR	4	22	7	31.8	154	2	41	7	22	0	0	0	0	0	0	8.6	34.4
DAL	WR	13	25	16	64	184	0	27	7.4	11.5	0	0	0	0	0	0	2.6	34.4
CHI	WR	15	17	11	64.7	132	2	46	7.8	12	5	33	6.6	0	3	3	2.2	33.5
CLE	WR	14	23	10	43.5	135	1	44	5.9	13.5	6	39	6.5	0	0	0	2.4	33.4
TB	WR	6	18	11	61.1	167	1	58	9.3	15.2	1	-3	-3	0	0	0	5.6	33.4
CAR	WR	13	30	17	56.7	138	0	23	4.6	8.1	0	0	0	0	0	0	2.5	32.8
SF	WR	8	24	15	62.5	177	0	21	7.4	11.8	0	0	0	0	0	0	4.1	32.7
IND	WR	6	20	10	50	162	1	51	8.1	16.2	0	0	0	0	0	0	5.4	32.2
